Feature,Importance
44_velocity_sd,7
34_acceleration_mean,7
17_pause_time,7
11_velocity_sd,7
32_acceleration_max,7
33_velocity_mean,7
38_velocity_max,7
8_velocity_y_mean,7
43_flips_x,7
10_velocity_mean,7
10_acceleration_mean,7
45_movement_duration,7
3_velocity_mean,7
7_velocity_mean,7
45_pause_time,7
31_velocity_sd,7
43_acceleration_sd,7
42_acceleration_mean,7
3_angular_velocity_sd,7
9_click_x_mean,7
39_jerk_sd,7
9_velocity_y_mean,7
37_velocity_mean,7
29_acceleration_mean,7
38_flips_x,7
45_click_x_mean,7
36_movement_distance,7
7_jerk_mean,7
36_velocity_mean,7
39_velocity_mean,7
42_velocity_y_mean,7
14_movement_duration,7
48_acceleration_mean,7
25_angular_velocity_mean,7
48_velocity_sd,7
13_acceleration_max,7
46_flips_x,7
18_velocity_y_mean,7
0_flips_y,7
11_angular_velocity_sd,7
11_movement_duration,7
26_acceleration_max,7
13_click_x_mean,7
4_flips_x,7
19_velocity_sd,7
41_pause_time,7
12_jerk_sd,7
40_movement_duration,7
14_jerk_mean,7
26_movement_distance,7
13_jerk_sd,7
23_acceleration_max,7
20_jerk_mean,7
43_movement_distance,7
14_velocity_min,7
41_acceleration_max,7
11_acceleration_max,7
20_velocity_max,7
25_acceleration_min,7
1_velocity_max,7
25_velocity_max,7
9_flips_y,6
12_jerk_mean,6
31_pause_time,6
47_velocity_sd,6
15_acceleration_min,6
3_velocity_max,6
45_angular_velocity_mean,6
31_click_x_mean,6
24_velocity_mean,6
9_flips_x,6
24_velocity_max,6
18_flips_y,6
32_movement_duration,6
31_acceleration_sd,6
24_acceleration_min,6
32_jerk_mean,6
32_velocity_y_mean,6
32_velocity_sd,6
15_velocity_sd,6
40_total_time,6
31_jerk_sd,6
47_acceleration_max,6
24_flips_y,6
17_velocity_max,6
24_flips_x,6
27_jerk_mean,6
4_acceleration_min,6
13_acceleration_sd,6
21_angular_velocity_mean,6
41_jerk_sd,6
19_pause_time,6
1_acceleration_sd,6
1_acceleration_max,6
1_click_x_mean,6
7_flips_x,6
37_click_x_mean,6
20_acceleration_mean,6
7_acceleration_sd,6
20_velocity_sd,6
41_acceleration_min,6
37_pause_time,6
37_flips_x,6
14_velocity_y_mean,6
21_movement_duration,6
16_velocity_sd,6
16_total_time,6
